country_iso2,country_name,year,VAR_11_ai_governance_aw_risk,VAR_12_ai_aw_research_per_million,VAR_13_ai_sentience_research_per_million,VAR_14_speciesist_bias_ratio,VAR_15_livestock_ai_patent_intensity
IT,Italy,2009,1.0,0.7476,0.195,33.3775,0.002883
IT,Italy,2010,1.0,0.8598,0.2243,32.11,0.00346
IT,Italy,2011,1.0,0.9887,0.2579,30.8425,0.004151
IT,Italy,2012,1.0,1.137,0.2966,29.575,0.004982
IT,Italy,2013,1.0,1.3076,0.3411,28.3075,0.005978
IT,Italy,2014,1.0,1.5037,0.3923,27.04,0.007174
IT,Italy,2015,1.0,1.7293,0.4511,25.7725,0.008608
IT,Italy,2016,1.0,1.9887,0.5188,24.505,0.01033
IT,Italy,2017,1.0,2.287,0.5966,23.2375,0.012396
IT,Italy,2018,1.0,2.6301,0.6861,21.97,0.014875
IT,Italy,2019,1.0,3.0246,0.789,20.7025,0.017851
IT,Italy,2020,1.0,3.4783,0.9074,19.435,0.021421
IT,Italy,2021,1.0,4.0,1.0435,18.1675,0.025705
IT,Italy,2022,1.0,4.6,1.2,16.9,0.030846
JP,Japan,2004,1.0,0.3071,0.1697,50.29,0.003453
JP,Japan,2005,1.0,0.3531,0.1951,48.685,0.004144
JP,Japan,2006,1.0,0.4061,0.2244,47.08,0.004973
JP,Japan,2007,1.0,0.467,0.2581,45.475,0.005967
JP,Japan,2008,1.0,0.537,0.2968,43.87,0.007161
JP,Japan,2009,1.0,0.6176,0.3413,42.265,0.008593
JP,Japan,2010,1.0,0.7102,0.3925,40.66,0.010311
JP,Japan,2011,1.0,0.8168,0.4514,39.055,0.012374
JP,Japan,2012,1.0,0.9393,0.5191,37.45,0.014849
JP,Japan,2013,1.0,1.0802,0.597,35.845,0.017818
JP,Japan,2014,1.0,1.2422,0.6865,34.24,0.021382
JP,Japan,2015,1.0,1.4286,0.7895,32.635,0.025658
JP,Japan,2016,1.0,1.6428,0.9079,31.03,0.03079
JP,Japan,2017,1.0,1.8893,1.0441,29.425,0.036948
JP,Japan,2018,1.0,2.1727,1.2007,27.82,0.044338
JP,Japan,2019,0.5,2.4986,1.3808,26.215,0.053205
JP,Japan,2020,0.5,2.8733,1.5879,24.61,0.063846
JP,Japan,2021,0.5,3.3043,1.8261,23.005,0.076615
JP,Japan,2022,0.5,3.8,2.1,21.4,0.091938
NL,Netherlands,2004,1.0,0.9777,0.3151,34.31,0.004978
NL,Netherlands,2005,1.0,1.1244,0.3624,33.215,0.005974
NL,Netherlands,2006,1.0,1.2931,0.4168,32.12,0.007169
NL,Netherlands,2007,1.0,1.487,0.4793,31.025,0.008603
NL,Netherlands,2008,1.0,1.7101,0.5512,29.93,0.010323
NL,Netherlands,2009,1.0,1.9666,0.6339,28.835,0.012388
NL,Netherlands,2010,1.0,2.2616,0.7289,27.74,0.014865
NL,Netherlands,2011,1.0,2.6008,0.8383,26.645,0.017839
NL,Netherlands,2012,1.0,2.9909,0.964,25.55,0.021406
NL,Netherlands,2013,1.0,3.4396,1.1086,24.455,0.025688
NL,Netherlands,2014,1.0,3.9555,1.2749,23.36,0.030825
NL,Netherlands,2015,1.0,4.5488,1.4662,22.265,0.03699
NL,Netherlands,2016,1.0,5.2312,1.6861,21.17,0.044388
NL,Netherlands,2017,1.0,6.0158,1.939,20.075,0.053266
NL,Netherlands,2018,0.5,6.9182,2.2298,18.98,0.063919
NL,Netherlands,2019,0.5,7.9559,2.5643,17.885,0.076703
NL,Netherlands,2020,0.5,9.1493,2.949,16.79,0.092043
NL,Netherlands,2021,0.5,10.5217,3.3913,15.695,0.110452
NL,Netherlands,2022,0.5,12.1,3.9,14.6,0.132542
NZ,New Zealand,2004,1.0,0.6384,0.1859,38.305,0.005772
NZ,New Zealand,2005,1.0,0.7341,0.2137,37.0825,0.006926
NZ,New Zealand,2006,1.0,0.8442,0.2458,35.86,0.008311
NZ,New Zealand,2007,1.0,0.9709,0.2827,34.6375,0.009973
NZ,New Zealand,2008,1.0,1.1165,0.3251,33.415,0.011968
NZ,New Zealand,2009,1.0,1.284,0.3738,32.1925,0.014362
NZ,New Zealand,2010,1.0,1.4766,0.4299,30.97,0.017234
NZ,New Zealand,2011,1.0,1.6981,0.4944,29.7475,0.020681
NZ,New Zealand,2012,1.0,1.9528,0.5685,28.525,0.024817
NZ,New Zealand,2013,1.0,2.2457,0.6538,27.3025,0.02978
NZ,New Zealand,2014,1.0,2.5825,0.7519,26.08,0.035736
NZ,New Zealand,2015,1.0,2.9699,0.8647,24.8575,0.042884
NZ,New Zealand,2016,1.0,3.4154,0.9944,23.635,0.05146
NZ,New Zealand,2017,1.0,3.9277,1.1435,22.4125,0.061752
NZ,New Zealand,2018,1.0,4.5169,1.315,21.19,0.074103
NZ,New Zealand,2019,1.0,5.1944,1.5123,19.9675,0.088923
NZ,New Zealand,2020,1.0,5.9735,1.7391,18.745,0.106708
NZ,New Zealand,2021,1.0,6.8696,2.0,17.5225,0.12805
NZ,New Zealand,2022,1.0,7.9,2.3,16.3,0.15366
KR,South Korea,2004,1.0,0.3394,0.1454,55.695,0.00618
KR,South Korea,2005,1.0,0.3903,0.1673,53.9175,0.007417
KR,South Korea,2006,1.0,0.4488,0.1924,52.14,0.0089
KR,South Korea,2007,1.0,0.5162,0.2212,50.3625,0.01068
KR,South Korea,2008,1.0,0.5936,0.2544,48.585,0.012816
KR,South Korea,2009,1.0,0.6826,0.2926,46.8075,0.015379
KR,South Korea,2010,1.0,0.785,0.3364,45.03,0.018455
KR,South Korea,2011,1.0,0.9028,0.3869,43.2525,0.022146
KR,South Korea,2012,1.0,1.0382,0.4449,41.475,0.026575
KR,South Korea,2013,1.0,1.1939,0.5117,39.6975,0.03189
KR,South Korea,2014,1.0,1.373,0.5884,37.92,0.038268
KR,South Korea,2015,1.0,1.5789,0.6767,36.1425,0.045921
KR,South Korea,2016,1.0,1.8158,0.7782,34.365,0.055106
KR,South Korea,2017,1.0,2.0881,0.8949,32.5875,0.066127
KR,South Korea,2018,1.0,2.4014,1.0292,30.81,0.079352
KR,South Korea,2019,0.5,2.7616,1.1835,29.0325,0.095223
KR,South Korea,2020,0.5,3.1758,1.3611,27.255,0.114267
KR,South Korea,2021,0.5,3.6522,1.5652,25.4775,0.137121
KR,South Korea,2022,0.5,4.2,1.8,23.7,0.164545
ES,Spain,2004,1.0,0.3879,0.1131,40.42,0.00188
ES,Spain,2005,1.0,0.446,0.1301,39.13,0.002256
ES,Spain,2006,1.0,0.513,0.1496,37.84,0.002707
ES,Spain,2007,1.0,0.5899,0.1721,36.55,0.003248
ES,Spain,2008,1.0,0.6784,0.1979,35.26,0.003898
ES,Spain,2009,1.0,0.7801,0.2275,33.97,0.004677
ES,Spain,2010,1.0,0.8972,0.2617,32.68,0.005613
ES,Spain,2011,1.0,1.0317,0.3009,31.39,0.006736
ES,Spain,2012,1.0,1.1865,0.3461,30.1,0.008083
ES,Spain,2013,1.0,1.3645,0.398,28.81,0.009699
ES,Spain,2014,1.0,1.5691,0.4577,27.52,0.011639
ES,Spain,2015,1.0,1.8045,0.5263,26.23,0.013967
ES,Spain,2016,1.0,2.0752,0.6053,24.94,0.01676
ES,Spain,2017,1.0,2.3864,0.696,23.65,0.020112
ES,Spain,2018,1.0,2.7444,0.8005,22.36,0.024135
ES,Spain,2019,1.0,3.1561,0.9205,21.07,0.028962
ES,Spain,2020,1.0,3.6295,1.0586,19.78,0.034754
ES,Spain,2021,1.0,4.1739,1.2174,18.49,0.041705
ES,Spain,2022,1.0,4.8,1.4,17.2,0.050046
SE,Sweden,2004,1.0,0.8323,0.2505,32.43,0.005706
SE,Sweden,2005,1.0,0.9571,0.2881,31.395,0.006847
SE,Sweden,2006,1.0,1.1007,0.3313,30.36,0.008216
SE,Sweden,2007,1.0,1.2658,0.381,29.325,0.009859
SE,Sweden,2008,1.0,1.4557,0.4381,28.29,0.011831
SE,Sweden,2009,1.0,1.674,0.5038,27.255,0.014197
SE,Sweden,2010,1.0,1.9251,0.5794,26.22,0.017037
SE,Sweden,2011,1.0,2.2139,0.6663,25.185,0.020444
SE,Sweden,2012,1.0,2.546,0.7663,24.15,0.024533
SE,Sweden,2013,1.0,2.9279,0.8812,23.115,0.02944
SE,Sweden,2014,1.0,3.3671,1.0134,22.08,0.035328
SE,Sweden,2015,1.0,3.8722,1.1654,21.045,0.042393
SE,Sweden,2016,1.0,4.453,1.3402,20.01,0.050872
SE,Sweden,2017,1.0,5.1209,1.5412,18.975,0.061046
SE,Sweden,2018,0.5,5.8891,1.7724,17.94,0.073256
SE,Sweden,2019,0.5,6.7724,2.0383,16.905,0.087907
SE,Sweden,2020,0.5,7.7883,2.344,15.87,0.105488
SE,Sweden,2021,0.5,8.9565,2.6957,14.835,0.126586
SE,Sweden,2022,0.5,10.3,3.1,13.8,0.151903
GB,United Kingdom,2004,1.0,0.9454,0.3394,37.365,0.002422
GB,United Kingdom,2005,1.0,1.0872,0.3903,36.1725,0.002906
GB,United Kingdom,2006,1.0,1.2503,0.4488,34.98,0.003488
GB,United Kingdom,2007,1.0,1.4379,0.5162,33.7875,0.004185
GB,United Kingdom,2008,1.0,1.6535,0.5936,32.595,0.005022
GB,United Kingdom,2009,1.0,1.9016,0.6826,31.4025,0.006027
GB,United Kingdom,2010,1.0,2.1868,0.785,30.21,0.007232
GB,United Kingdom,2011,1.0,2.5148,0.9028,29.0175,0.008678
GB,United Kingdom,2012,1.0,2.8921,1.0382,27.825,0.010414
GB,United Kingdom,2013,1.0,3.3259,1.1939,26.6325,0.012497
GB,United Kingdom,2014,1.0,3.8248,1.373,25.44,0.014996
GB,United Kingdom,2015,1.0,4.3985,1.5789,24.2475,0.017995
GB,United Kingdom,2016,1.0,5.0582,1.8158,23.055,0.021594
GB,United Kingdom,2017,1.0,5.817,2.0881,21.8625,0.025913
GB,United Kingdom,2018,0.5,6.6895,2.4014,20.67,0.031096
GB,United Kingdom,2019,0.5,7.6929,2.7616,19.4775,0.037315
GB,United Kingdom,2020,0.5,8.8469,3.1758,18.285,0.044778
GB,United Kingdom,2021,0.5,10.1739,3.6522,17.0925,0.053734
GB,United Kingdom,2022,0.5,11.7,4.2,15.9,0.06448
US,United States,2004,1.0,1.1474,0.4687,47.94,0.002725
US,United States,2005,1.0,1.3195,0.539,46.41,0.003269
US,United States,2006,1.0,1.5175,0.6198,44.88,0.003923
US,United States,2007,1.0,1.7451,0.7128,43.35,0.004708
US,United States,2008,1.0,2.0069,0.8197,41.82,0.00565
US,United States,2009,1.0,2.3079,0.9427,40.29,0.00678
US,United States,2010,1.0,2.6541,1.0841,38.76,0.008136
US,United States,2011,1.0,3.0522,1.2467,37.23,0.009763
US,United States,2012,1.0,3.51,1.4337,35.7,0.011715
US,United States,2013,1.0,4.0365,1.6487,34.17,0.014058
US,United States,2014,1.0,4.642,1.896,32.64,0.01687
US,United States,2015,1.0,5.3383,2.1804,31.11,0.020244
US,United States,2016,1.0,6.1391,2.5075,29.58,0.024293
US,United States,2017,1.0,7.0599,2.8836,28.05,0.029151
US,United States,2018,1.0,8.1189,3.3162,26.52,0.034981
US,United States,2019,0.5,9.3367,3.8136,24.99,0.041978
US,United States,2020,0.5,10.7372,4.3856,23.46,0.050373
US,United States,2021,0.5,12.3478,5.0435,21.93,0.060448
US,United States,2022,0.5,14.2,5.8,20.4,0.072537
AR,Argentina,2004,1.0,0.105,0.0242,27.73,0.000715
AR,Argentina,2005,1.0,0.1208,0.0279,26.845,0.000858
AR,Argentina,2006,1.0,0.1389,0.0321,25.96,0.001029
AR,Argentina,2007,1.0,0.1598,0.0369,25.075,0.001235
AR,Argentina,2008,1.0,0.1837,0.0424,24.19,0.001482
AR,Argentina,2009,1.0,0.2113,0.0488,23.305,0.001779
AR,Argentina,2010,1.0,0.243,0.0561,22.42,0.002135
AR,Argentina,2011,1.0,0.2794,0.0645,21.535,0.002562
AR,Argentina,2012,1.0,0.3213,0.0742,20.65,0.003074
AR,Argentina,2013,1.0,0.3695,0.0853,19.765,0.003689
AR,Argentina,2014,1.0,0.425,0.0981,18.88,0.004426
AR,Argentina,2015,1.0,0.4887,0.1128,17.995,0.005312
AR,Argentina,2016,1.0,0.562,0.1297,17.11,0.006374
AR,Argentina,2017,1.0,0.6463,0.1492,16.225,0.007649
AR,Argentina,2018,1.0,0.7433,0.1715,15.34,0.009178
AR,Argentina,2019,1.0,0.8548,0.1973,14.455,0.011014
AR,Argentina,2020,1.0,0.983,0.2268,13.57,0.013217
AR,Argentina,2021,1.0,1.1304,0.2609,12.685,0.01586
AR,Argentina,2022,1.0,1.3,0.3,11.8,0.019033
CN,China,2004,1.0,0.1697,0.0566,66.975,0.004895
CN,China,2005,1.0,0.1951,0.065,64.8375,0.005874
CN,China,2006,1.0,0.2244,0.0748,62.7,0.007049
CN,China,2007,1.0,0.2581,0.086,60.5625,0.008459
CN,China,2008,1.0,0.2968,0.0989,58.425,0.01015
CN,China,2009,1.0,0.3413,0.1138,56.2875,0.01218
CN,China,2010,1.0,0.3925,0.1308,54.15,0.014616
CN,China,2011,1.0,0.4514,0.1505,52.0125,0.01754
CN,China,2012,1.0,0.5191,0.173,49.875,0.021048
CN,China,2013,1.0,0.597,0.199,47.7375,0.025257
CN,China,2014,1.0,0.6865,0.2288,45.6,0.030309
CN,China,2015,1.0,0.7895,0.2632,43.4625,0.03637
CN,China,2016,1.0,0.9079,0.3026,41.325,0.043645
CN,China,2017,1.0,1.0441,0.348,39.1875,0.052373
CN,China,2018,1.0,1.2007,0.4002,37.05,0.062848
CN,China,2019,1.0,1.3808,0.4603,34.9125,0.075418
CN,China,2020,1.0,1.5879,0.5293,32.775,0.090501
CN,China,2021,1.0,1.8261,0.6087,30.6375,0.108602
CN,China,2022,1.0,2.1,0.7,28.5,0.130322
DK,Denmark,2004,1.0,0.9293,0.2343,31.02,0.007225
DK,Denmark,2005,1.0,1.0686,0.2695,30.03,0.00867
DK,Denmark,2006,1.0,1.2289,0.3099,29.04,0.010404
DK,Denmark,2007,1.0,1.4133,0.3564,28.05,0.012485
DK,Denmark,2008,1.0,1.6253,0.4099,27.06,0.014982
DK,Denmark,2009,1.0,1.8691,0.4713,26.07,0.017978
DK,Denmark,2010,1.0,2.1494,0.542,25.08,0.021574
DK,Denmark,2011,1.0,2.4718,0.6233,24.09,0.025889
DK,Denmark,2012,1.0,2.8426,0.7168,23.1,0.031067
DK,Denmark,2013,1.0,3.269,0.8244,22.11,0.03728
DK,Denmark,2014,1.0,3.7594,0.948,21.12,0.044736
DK,Denmark,2015,1.0,4.3233,1.0902,20.13,0.053683
DK,Denmark,2016,1.0,4.9718,1.2538,19.14,0.06442
DK,Denmark,2017,1.0,5.7175,1.4418,18.15,0.077304
DK,Denmark,2018,1.0,6.5752,1.6581,17.16,0.092764
DK,Denmark,2019,0.5,7.5614,1.9068,16.17,0.111317
DK,Denmark,2020,0.5,8.6957,2.1928,15.18,0.133581
DK,Denmark,2021,0.5,10.0,2.5217,14.19,0.160297
DK,Denmark,2022,0.5,11.5,2.9,13.2,0.192356
KE,Kenya,2004,1.0,0.0323,0.0081,22.09,0.001325
KE,Kenya,2005,1.0,0.0372,0.0093,21.385,0.00159
KE,Kenya,2006,1.0,0.0427,0.0107,20.68,0.001908
KE,Kenya,2007,1.0,0.0492,0.0123,19.975,0.002289
KE,Kenya,2008,1.0,0.0565,0.0141,19.27,0.002747
KE,Kenya,2009,1.0,0.065,0.0163,18.565,0.003297
KE,Kenya,2010,1.0,0.0748,0.0187,17.86,0.003956
KE,Kenya,2011,1.0,0.086,0.0215,17.155,0.004747
KE,Kenya,2012,1.0,0.0989,0.0247,16.45,0.005697
KE,Kenya,2013,1.0,0.1137,0.0284,15.745,0.006836
KE,Kenya,2014,1.0,0.1308,0.0327,15.04,0.008203
KE,Kenya,2015,1.0,0.1504,0.0376,14.335,0.009844
KE,Kenya,2016,1.0,0.1729,0.0432,13.63,0.011813
KE,Kenya,2017,1.0,0.1989,0.0497,12.925,0.014176
KE,Kenya,2018,1.0,0.2287,0.0572,12.22,0.017011
KE,Kenya,2019,1.0,0.263,0.0658,11.515,0.020413
KE,Kenya,2020,1.0,0.3025,0.0756,10.81,0.024495
KE,Kenya,2021,1.0,0.3478,0.087,10.105,0.029394
KE,Kenya,2022,1.0,0.4,0.1,9.4,0.035273
MX,Mexico,2004,1.0,0.0889,0.0242,31.96,0.00054
MX,Mexico,2005,1.0,0.1022,0.0279,30.94,0.000648
MX,Mexico,2006,1.0,0.1176,0.0321,29.92,0.000777
MX,Mexico,2007,1.0,0.1352,0.0369,28.9,0.000932
MX,Mexico,2008,1.0,0.1555,0.0424,27.88,0.001119
MX,Mexico,2009,1.0,0.1788,0.0488,26.86,0.001343
MX,Mexico,2010,1.0,0.2056,0.0561,25.84,0.001611
MX,Mexico,2011,1.0,0.2364,0.0645,24.82,0.001934
MX,Mexico,2012,1.0,0.2719,0.0742,23.8,0.00232
MX,Mexico,2013,1.0,0.3127,0.0853,22.78,0.002784
MX,Mexico,2014,1.0,0.3596,0.0981,21.76,0.003341
MX,Mexico,2015,1.0,0.4135,0.1128,20.74,0.004009
MX,Mexico,2016,1.0,0.4756,0.1297,19.72,0.004811
MX,Mexico,2017,1.0,0.5469,0.1492,18.7,0.005774
MX,Mexico,2018,1.0,0.6289,0.1715,17.68,0.006928
MX,Mexico,2019,1.0,0.7233,0.1973,16.66,0.008314
MX,Mexico,2020,1.0,0.8318,0.2268,15.64,0.009977
MX,Mexico,2021,1.0,0.9565,0.2609,14.62,0.011972
MX,Mexico,2022,1.0,1.1,0.3,13.6,0.014367
NG,Nigeria,2004,1.0,0.0162,0.004,19.27,0.000157
NG,Nigeria,2005,1.0,0.0186,0.0046,18.655,0.000189
NG,Nigeria,2006,1.0,0.0214,0.0053,18.04,0.000227
NG,Nigeria,2007,1.0,0.0246,0.0061,17.425,0.000272
NG,Nigeria,2008,1.0,0.0283,0.0071,16.81,0.000326
NG,Nigeria,2009,1.0,0.0325,0.0081,16.195,0.000392
NG,Nigeria,2010,1.0,0.0374,0.0093,15.58,0.00047
NG,Nigeria,2011,1.0,0.043,0.0107,14.965,0.000564
NG,Nigeria,2012,1.0,0.0494,0.0124,14.35,0.000677
NG,Nigeria,2013,1.0,0.0569,0.0142,13.735,0.000812
NG,Nigeria,2014,1.0,0.0654,0.0163,13.12,0.000974
NG,Nigeria,2015,1.0,0.0752,0.0188,12.505,0.001169
NG,Nigeria,2016,1.0,0.0865,0.0216,11.89,0.001403
NG,Nigeria,2017,1.0,0.0994,0.0249,11.275,0.001684
NG,Nigeria,2018,1.0,0.1144,0.0286,10.66,0.00202
NG,Nigeria,2019,1.0,0.1315,0.0329,10.045,0.002424
NG,Nigeria,2020,1.0,0.1512,0.0378,9.43,0.002909
NG,Nigeria,2021,1.0,0.1739,0.0435,8.815,0.003491
NG,Nigeria,2022,1.0,0.2,0.05,8.2,0.004189
PL,Poland,2004,1.0,0.1859,0.0646,36.19,0.001692
PL,Poland,2005,1.0,0.2137,0.0743,35.035,0.00203
PL,Poland,2006,1.0,0.2458,0.0855,33.88,0.002436
PL,Poland,2007,1.0,0.2827,0.0983,32.725,0.002924
PL,Poland,2008,1.0,0.3251,0.1131,31.57,0.003508
PL,Poland,2009,1.0,0.3738,0.13,30.415,0.00421
PL,Poland,2010,1.0,0.4299,0.1495,29.26,0.005052
PL,Poland,2011,1.0,0.4944,0.172,28.105,0.006063
PL,Poland,2012,1.0,0.5685,0.1977,26.95,0.007275
PL,Poland,2013,1.0,0.6538,0.2274,25.795,0.00873
PL,Poland,2014,1.0,0.7519,0.2615,24.64,0.010476
PL,Poland,2015,1.0,0.8647,0.3007,23.485,0.012571
PL,Poland,2016,1.0,0.9944,0.3459,22.33,0.015085
PL,Poland,2017,1.0,1.1435,0.3977,21.175,0.018103
PL,Poland,2018,1.0,1.315,0.4574,20.02,0.021723
